"Gene name"	"Log₂FC"	"FDR"	"Coverage Group 1"	"Coverage Group 2"	"Mean Group 1"	"Mean Group 2"
"ACADVL"	"-0.2976572811603546"	"1.9136609730466187e-168"	"0.743598222732544"	"0.9020337462425232"	"0.5159481763839722"	"0.6042898297309875"
"ACAN"	"-2.451444625854492"	"0"	"0.037796467542648315"	"0.1138097420334816"	"0.0057821329683065414"	"0.031225156038999557"
"ACAP1"	"0.3144078254699707"	"3.9985262301763154e-23"	"0.24955116212368011"	"0.3989585041999817"	"0.055658236145973206"	"0.045000456273555756"
"ACAP2"	"-0.33957329392433167"	"1.6528449324208666e-244"	"0.7535670399665833"	"0.883182942867279"	"0.444966197013855"	"0.5360064506530762"
"ACAP3"	"0.16396355628967285"	"5.292770719742591e-20"	"0.49253520369529724"	"0.6701751947402954"	"0.15400749444961548"	"0.13855469226837158"
"ACAT1"	"-0.10573208332061768"	"9.874606992435053e-21"	"0.734527051448822"	"0.857434093952179"	"0.37445539236068726"	"0.3979279100894928"
"ACAT2"	"-0.9101870059967041"	"0"	"0.47396767139434814"	"0.7191243171691895"	"0.11697803437709808"	"0.20962044596672058"
"ACBD3"	"-0.39021921157836914"	"1.314393764785287e-253"	"0.6768401861190796"	"0.83763188123703"	"0.3022809624671936"	"0.38018983602523804"
"ACBD4"	"-0.5863823890686035"	"7.216106900578186e-155"	"0.28640273213386536"	"0.502106785774231"	"0.04848211258649826"	"0.07193758338689804"
"ACBD5"	"-0.1890544891357422"	"3.6125107620628857e-29"	"0.46092790365219116"	"0.6671933531761169"	"0.11679419130086899"	"0.13211053609848022"
"ACBD6"	"-1.3076045513153076"	"0"	"0.44495889544487"	"0.8496015667915344"	"0.19186535477638245"	"0.4210396409034729"
"ACCS"	"-0.8343980312347412"	"8.439617908905739e-267"	"0.22186525166034698"	"0.49219295382499695"	"0.038051456212997437"	"0.06687092036008835"
"ACD"	"-0.34062957763671875"	"3.789448880620463e-99"	"0.45525842905044556"	"0.6784154772758484"	"0.11367414146661758"	"0.1418876051902771"
"ACE"	"-0.8940057754516602"	"1.0394982066805901e-119"	"0.1267126500606537"	"0.16714239120483398"	"0.01495845802128315"	"0.027621664106845856"
"ACER2"	"-1.8251457214355469"	"4.1930362957098853e-278"	"0.027591420337557793"	"0.13734135031700134"	"0.005970922764390707"	"0.020998798310756683"
"ACER3"	"-1.1553997993469238"	"0"	"0.4063592553138733"	"0.7111813426017761"	"0.10613774508237839"	"0.22267940640449524"
"ACHE"	"-2.143327236175537"	"0"	"0.15581592917442322"	"0.4558846056461334"	"0.024294016882777214"	"0.10313437879085541"
"ACIN1"	"-0.4140395522117615"	"1.1538968894905173e-288"	"0.6612019538879395"	"0.8756647706031799"	"0.35436132550239563"	"0.4489298164844513"
"ACKR1"	"-0.6268844604492188"	"1.1713178893035236e-80"	"0.17069828510284424"	"0.2296753078699112"	"0.05854693055152893"	"0.08902569115161896"
"ACKR3"	"-0.23456239700317383"	"6.667604118418181e-40"	"0.49522820115089417"	"0.5561785101890564"	"0.2564089596271515"	"0.29556336998939514"
"ACKR4"	"-2.6146082878112793"	"0"	"0.040300481021404266"	"0.17844946682453156"	"0.008152974769473076"	"0.04892117530107498"
"ACLY"	"0.337540864944458"	"1.7301129342642637e-108"	"0.6197675466537476"	"0.7291826009750366"	"0.23242413997650146"	"0.18819653987884521"
"ACO1"	"-0.03181147575378418"	"0.01454819364298002"	"0.6479731798171997"	"0.7884023785591125"	"0.2488083690404892"	"0.25370728969573975"
"ACO2"	"-0.11497879028320312"	"2.0439190759466942e-20"	"0.6466030478477478"	"0.8095383644104004"	"0.25434499979019165"	"0.2728041708469391"
"ACOT1"	"-2.4694414138793945"	"0"	"0.03425304591655731"	"0.1606181114912033"	"0.0038802335038781166"	"0.02130308747291565"
"ACOT11"	"-0.7003440856933594"	"8.875398214181967e-135"	"0.18553340435028076"	"0.40651068091392517"	"0.041718821972608566"	"0.06693174690008163"
"ACOT13"	"-0.0036690235137939453"	"0.7844803124338168"	"0.6354058384895325"	"0.7630018591880798"	"0.22124826908111572"	"0.2217535525560379"
"ACOT2"	"-1.1446778774261475"	"0"	"0.3002456724643707"	"0.5684455633163452"	"0.06603287905454636"	"0.14056572318077087"
"ACOT4"	"-0.5141687393188477"	"1.0947695148721449e-16"	"0.04908816143870354"	"0.12210102379322052"	"0.005777993239462376"	"0.00824179220944643"
"ACOT7"	"0.7952210903167725"	"0"	"0.5880657434463501"	"0.5968618988990784"	"0.20642642676830292"	"0.12409386783838272"
"ACOT8"	"0.02063155174255371"	"0.2847096693770687"	"0.4325805604457855"	"0.6063849925994873"	"0.10105534642934799"	"0.09968965500593185"
"ACOT9"	"-0.09518194198608398"	"5.420108205129647e-13"	"0.6123499870300293"	"0.7893198728561401"	"0.22361324727535248"	"0.23718637228012085"
"ACOX1"	"0.11135983467102051"	"3.6214723407921416e-13"	"0.5873571038246155"	"0.7227687239646912"	"0.19517609477043152"	"0.18191708624362946"
"ACOX2"	"-0.5836732387542725"	"3.069845533731963e-199"	"0.3203722834587097"	"0.5796082019805908"	"0.06461631506681442"	"0.09534203261137009"
"ACOX3"	"-0.8015718460083008"	"2.9731708861148948e-297"	"0.26433902978897095"	"0.5365632176399231"	"0.054504550993442535"	"0.09316066652536392"
"ACP1"	"-0.337533175945282"	"2.7162358064676254e-258"	"0.7596144676208496"	"0.8621744513511658"	"0.4193436801433563"	"0.5057843923568726"
"ACP2"	"-0.47602367401123047"	"4.4940520269575127e-178"	"0.41741472482681274"	"0.6415379643440247"	"0.09556452929973602"	"0.13057173788547516"
"ACP5"	"0.5426201820373535"	"4.406378700857703e-100"	"0.3524993062019348"	"0.3261719048023224"	"0.1056830957531929"	"0.07373959571123123"
"ACP6"	"-0.06494855880737305"	"0.01834151058328837"	"0.2561182975769043"	"0.40073397755622864"	"0.05040601268410683"	"0.05266699567437172"
"ACSF2"	"-1.183826208114624"	"0"	"0.25852781534194946"	"0.5604346394538879"	"0.04272029176354408"	"0.09454096108675003"
"ACSF3"	"-0.17390704154968262"	"9.718548986316264e-19"	"0.4010677635669708"	"0.6157551407814026"	"0.09111158549785614"	"0.10220611840486526"
"ACSL1"	"-0.6574828624725342"	"5.729561440529406e-282"	"0.391854852437973"	"0.593795120716095"	"0.08999264985322952"	"0.13848379254341125"
"ACSL3"	"-0.13139879703521729"	"9.965858809819933e-31"	"0.7367003560066223"	"0.8503236770629883"	"0.38836437463760376"	"0.41859152913093567"
"ACSL4"	"0.19121432304382324"	"1.0491051383272003e-34"	"0.5950108766555786"	"0.7150806188583374"	"0.25357913970947266"	"0.22538207471370697"
"ACSL5"	"0.39714527130126953"	"4.5288261287433965e-26"	"0.1916753351688385"	"0.24319961667060852"	"0.039608847349882126"	"0.030219707638025284"
"ACSM3"	"-3.325371265411377"	"0"	"0.03453652188181877"	"0.30481505393981934"	"0.00552753871306777"	"0.054072268307209015"
"ACSS1"	"-0.7212889194488525"	"1.3142839300980665e-258"	"0.30137956142425537"	"0.5686919093132019"	"0.06660647690296173"	"0.10755372792482376"
"ACSS2"	"-0.3090972900390625"	"1.617634877575714e-58"	"0.4284229278564453"	"0.6403911113739014"	"0.10642760992050171"	"0.13026383519172668"
"ACSS3"	"-1.8079062700271606"	"0"	"0.29353681206703186"	"0.6934943795204163"	"0.06948850303888321"	"0.22470660507678986"
"ACTA2"	"1.9298076629638672"	"0"	"0.979353666305542"	"0.9360483884811401"	"3.4261255264282227"	"2.1759114265441895"
